,Statement,Response
175,(LAUGHTER),"OK, Honest Abe, Honest Abe never lied. That's the good thing. That's the big difference between Abraham Lincoln and you. That's a big, big difference. We're talking about some difference. But as far as other elements of what she was saying, I don't know Putin. I think it would be great if we got along with Russia because we could fight ISIS together, as an example. But I don't know Putin. But I notice, anytime anything wrong happens, they like to say the Russians are -- she doesn't know if it's the Russians doing the hacking. Maybe there is no hacking. But they always blame Russia. And the reason they blame Russia because they think they're trying to tarnish me with Russia. I know nothing about Russia. I know -- I know about Russia, but I know nothing about the inner workings of Russia. I don't deal there. I have no businesses there. I have no loans from Russia. I have a very, very great balance sheet, so great that when I did the Old Post Office on Pennsylvania Avenue, the United States government, because of my balance sheet, which they actually know very well, chose me to do the Old Post Office, between the White House and Congress, chose me to do the Old Post Office. One of the primary area things, in fact, perhaps the primary thing was balance sheet. But I have no loans with Russia. You could go to the United States government, and they would probably tell you that, because they know my sheet very well in order to get that development I had to have. Now, the taxes are a very simple thing. As soon as I have -- first of all, I pay hundreds of millions of dollars in taxes. Many of her friends took bigger deductions. Warren Buffett took a massive deduction. Soros, who's a friend of hers, took a massive deduction. Many of the people that are giving her all this money that she can do many more commercials than me gave her -- took massive deductions. I pay hundreds of millions of dollars in taxes. But -- but as soon as my routine audit is finished, I'll release my returns. I'll be very proud to. They're actually quite great. "
176,"Mr. Trump, you have two minutes. ","Well, one thing I'd do is get rid of carried interest. One of the greatest provisions for people like me, to be honest with you, I give up a lot when I run, because I knock out the tax code. And she could have done this years ago, by the way. She's a United States -- she was a United States senator. She complains that Donald Trump took advantage of the tax code. Well, why didn't she change it? Why didn't you change it when you were a senator? The reason you didn't is that all your friends take the same advantage that I do. And I do. You have provisions in the tax code that, frankly, we could change. But you wouldn't change it, because all of these people gave you the money so you can take negative ads on Donald Trump. But -- and I say that about a lot of things. You know, I've heard Hillary complaining about so many different things over the years. ""I wish you would have done this."" But she's been there for 30 years she's been doing this stuff. She never changed. And she never will change. She never will change. We're getting rid of carried interest provisions. I'm lowering taxes actually, because I think it's so important for corporations, because we have corporations leaving -- massive corporations and little ones, little ones can't form. We're getting rid of regulations which goes hand in hand with the lowering of the taxes. But we're bringing the tax rate down from 35 percent to 15 percent. We're cutting taxes for the middle class. And I will tell you, we are cutting them big league for the middle class. And I will tell you, Hillary Clinton is raising your taxes, folks. You can look at me. She's raising your taxes really high. And what that's going to do is a disaster for the country. But she is raising your taxes and I'm lowering your taxes. That in itself is a big difference. We are going to be thriving again. We have no growth in this country. There's no growth. If China has a GDP of 7 percent, it's like a national catastrophe. We're down at 1 percent. And that's, like, no growth. And we're going lower, in my opinion. And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world. And I'm bringing them down to one of the lower in the world. And I think it's so important -- one of the most important things we can do. But she is raising everybody's taxes massively. "
177,"Thank you. I want to give you -- Mr. Trump, I want to give you the chance to respond. I just wanted to tell our viewers what she's referring to. In the last month, taxes were the number-one issue on Facebook for the first time in the campaign. The New York Times published three pages of your 1995 tax returns. They show you claimed a $916 million loss, which means you could have avoided paying personal federal income taxes for years. You've said you pay state taxes, employee taxes, real estate taxes, property taxes. You have not answered, though, a simple question. Did you use that $916 million loss to avoid paying personal federal income taxes for years? ","Of course I do. Of course I do. And so do all of her donors, or most of her donors. I know many of her donors. Her donors took massive tax write-offs. "
178,So have you (inaudible) personal federal income tax?,"A lot of my -- excuse me, Anderson -- a lot of my write- off was depreciation and other things that Hillary as a senator allowed. And she'll always allow it, because the people that give her all this money, they want it. That's why. See, I understand the tax code better than anybody that's ever run for president. Hillary Clinton -- and it's extremely complex -- Hillary Clinton has friends that want all of these provisions, including they want the carried interest provision, which is very important to Wall Street people. But they really want the carried interest provision, which I believe Hillary's leaving. Very interesting why she's leaving carried interest. But I will tell you that, number one, I pay tremendous numbers of taxes. I absolutely used it. And so did Warren Buffett and so did George Soros and so did many of the other people that Hillary is getting money from. Now, I won't mention their names, because they're rich, but they're not famous. So we won't make them famous. "
179,So can you -- can you say how many years you have avoided paying personal federal income taxes?,"No, but I pay tax, and I pay federal tax, too. But I have a write-off, a lot of it's depreciation, which is a wonderful charge. I love depreciation. You know, she's given it to us. Hey, if she had a problem -- for 30 years she's been doing this, Anderson. I say it all the time. She talks about health care. Why didn't she do something about it? She talks about taxes. Why didn't she do something about it? She doesn't do anything about anything other than talk. With her, it's all talk and no action. "
180,In the past...,"And, again, Bernie Sanders, it's really bad judgment. She has made bad judgment not only on taxes. She's made bad judgments on Libya, on Syria, on Iraq. I mean, her and Obama, whether you like it or not, the way they got out of Iraq, the vacuum they've left, that's why ISIS formed in the first place. They started from that little area, and now they're in 32 different nations, Hillary. Congratulations. Great job. "
181,"Well, here we go again. I've been in favor of getting rid of carried interest for years, starting when I was a senator from New York. But that's not the point here. ",Why didn't you do it? Why didn't you do it?
182,Because I was a senator with a Republican president.,"Oh, really? "
183,I will be the president and we will get it done. That's exactly right.,"You could have done it, if you were an effective -- if you were an effective senator, you could have done it. If you were an effective senator, you could have done it. But you were not an effective senator. "
184,We're going to move on to Syria. Both of you have mentioned that.,"She said a lot of things that were false. I mean, I think we should be allowed to maybe... "
185,"No, we can -- no, Mr. Trump, we're going to go on. This is about the audience. ",Excuse me. Because she has been a disaster as a senator. A disaster.
186,"Thank you, Secretary Clinton. Mr. Trump? ","First of all, she was there as secretary of state with the so-called line in the sand, which... "
187,"No, I wasn't. I was gone. I hate to interrupt you, but at some point... ",OK. But you were in contact -- excuse me. You were...
188,"At some point, we need to do some fact-checking here. ","You were in total contact with the White House, and perhaps, sadly, Obama probably still listened to you. I don't think he would be listening to you very much anymore. Obama draws the line in the sand. It was laughed at all over the world what happened. Now, with that being said, she talks tough against Russia. But our nuclear program has fallen way behind, and they've gone wild with their nuclear program. Not good. Our government shouldn't have allowed that to happen. Russia is new in terms of nuclear. We are old. We're tired. We're exhausted in terms of nuclear. A very bad thing. Now, she talks tough, she talks really tough against Putin and against Assad. She talks in favor of the rebels. She doesn't even know who the rebels are. You know, every time we take rebels, whether it's in Iraq or anywhere else, we're arming people. And you know what happens? They end up being worse than the people. Look at what she did in Libya with Gadhafi. Gadhafi's out. It's a mess. And, by the way, ISIS has a good chunk of their oil. I'm sure you probably have heard that. It was a disaster. Because the fact is, almost everything she's done in foreign policy has been a mistake and it's been a disaster. But if you look at Russia, just take a look at Russia, and look at what they did this week, where I agree, she wasn't there, but possibly she's consulted. We sign a peace treaty. Everyone's all excited. Well, what Russia did with Assad and, by the way, with Iran, who you made very powerful with the dumbest deal perhaps I've ever seen in the history of deal-making, the Iran deal, with the $150 billion, with the $1.7 billion in cash, which is enough to fill up this room. But look at that deal. Iran now and Russia are now against us. So she wants to fight. She wants to fight for rebels. There's only one problem. You don't even know who the rebels are. So what's the purpose? "
189,"Mr. Trump, Mr. Trump, your two minutes is up. ",And one thing I have to say.
190,Your two minutes is up.,"I don't like Assad at all, but Assad is killing ISIS. Russia is killing ISIS. And Iran is killing ISIS. And those three have now lined up because of our weak foreign policy. "
191,"... what would you do about Syria and the humanitarian crisis in Aleppo? And I want to remind you what your running mate said. He said provocations by Russia need to be met with American strength and that if Russia continues to be involved in air strikes along with the Syrian government forces of Assad, the United States of America should be prepared to use military force to strike the military targets of the Assad regime. ","OK. He and I haven't spoken, and I disagree. I disagree. "
192,You disagree with your running mate?,"I think you have to knock out ISIS. Right now, Syria is fighting ISIS. We have people that want to fight both at the same time. But Syria is no longer Syria. Syria is Russia and it's Iran, who she made strong and Kerry and Obama made into a very powerful nation and a very rich nation, very, very quickly, very, very quickly. I believe we have to get ISIS. We have to worry about ISIS before we can get too much more involved. She had a chance to do something with Syria. They had a chance. And that was the line. And she didn't. "
193,What do you think will happen if Aleppo falls?,"I think Aleppo is a disaster, humanitarian-wise. "
194,What do you think will happen if it falls?,"I think that it basically has fallen. OK? It basically has fallen. Let me tell you something. You take a look at Mosul. The biggest problem I have with the stupidity of our foreign policy, we have Mosul. They think a lot of the ISIS leaders are in Mosul. So we have announcements coming out of Washington and coming out of Iraq, we will be attacking Mosul in three weeks or four weeks. Well, all of these bad leaders from ISIS are leaving Mosul. Why can't they do it quietly? Why can't they do the attack, make it a sneak attack, and after the attack is made, inform the American public that we've knocked out the leaders, we've had a tremendous success? People leave. Why do they have to say we're going to be attacking Mosul within the next four to six weeks, which is what they're saying? How stupid is our country? "
195,There are sometimes reasons the military does that. Psychological warfare.,I can't think of any. I can't think of any. And I'm pretty good at it.
196,It might be to help get civilians out.,"And we have General Flynn. And we have -- look, I have 200 generals and admirals who endorsed me. I have 21 Congressional Medal of Honor recipients who endorsed me. We talk about it all the time. They understand, why can't they do something secretively, where they go in and they knock out the leadership? How -- why would these people stay there? I've been reading now... "
197,Tell me what your strategy is.,"... for weeks -- I've been reading now for weeks about Mosul, that it's the harbor of where -- you know, between Raqqa and Mosul, this is where they think the ISIS leaders are. Why would they be saying -- they're not staying there anymore. They're gone. Because everybody's talking about how Iraq, which is us with our leadership, goes in to fight Mosul. Now, with these 200 admirals and generals, they can't believe it. All I say is this. General George Patton, General Douglas MacArthur are spinning in their grave at the stupidity of what we're doing in the Middle East. "
198,"Well, Martha, I hope that by the time I -- if I'm fortunate... ",Everything.
199,Thank you very much. We're going to move on...,"You know what's funny? She went over a minute over, and you don't stop her. When I go one second over, it's like a big deal. "
200,You had many answers.,It's really -- it's really very interesting.
201,That question begins for Mr. Trump.,"Absolutely. I mean, she calls our people deplorable, a large group, and irredeemable. I will be a president for all of our people. And I'll be a president that will turn our inner cities around and will give strength to people and will give economics to people and will bring jobs back. Because NAFTA, signed by her husband, is perhaps the greatest disaster trade deal in the history of the world. Not in this country. It stripped us of manufacturing jobs. We lost our jobs. We lost our money. We lost our plants. It is a disaster. And now she wants to sign TPP, even though she says now she's for it. She called it the gold standard. And by the way, at the last debate, she lied, because it turned out that she did say the gold standard and she said she didn't say it. They actually said that she lied. OK? And she lied. But she's lied about a lot of things. "
202,"Mr. Trump, thank you. ","But I will tell you, she's all talk. It doesn't get done. All you have to do is take a look at her Senate run. Take a look at upstate New York. "
203,"Your two minutes is up. Secretary Clinton, two minutes? ",It turned out to be a disaster.
204,"Thank you, Secretary. ",... but we believed that we could make the country better. And I was proud of that.
205,I want to give you a minute to respond.,"We have a divided nation. We have a very divided nation. You look at Charlotte. You look at Baltimore. You look at the violence that's taking place in the inner cities, Chicago, you take a look at Washington, D.C. We have an increase in murder within our cities, the biggest in 45 years. We have a divided nation, because people like her -- and believe me, she has tremendous hate in her heart. And when she said deplorables, she meant it. And when she said irredeemable, they're irredeemable, you didn't mention that, but when she said they're irredeemable, to me that might have been even worse. "
206,She said some of them are irredeemable.,"She's got tremendous -- she's got tremendous hatred. And this country cannot take another four years of Barack Obama, and that's what you're getting with her. "
207,"Mr. Trump, let me follow up with you. In 2008, you wrote in one of your books that the most important characteristic of a good leader is discipline. You said, if a leader doesn't have it, quote, ""he or she won't be one for very long."" In the days after the first debate, you sent out a series of tweets from 3 a.m. to 5 a.m., including one that told people to check out a sex tape. Is that the discipline of a good leader? ","No, there wasn't check out a sex tape. It was just take a look at the person that she built up to be this wonderful Girl Scout who was no Girl Scout. "
208,You mentioned sex tape.,"By the way, just so you understand, when she said 3 o'clock in the morning, take a look at Benghazi. She said who is going to answer the call at 3 o'clock in the morning? Guess what? She didn't answer it, because when Ambassador Stevens... "
209,"The question is, is that the discipline of a good leader? ","... 600 -- wait a minute, Anderson, 600 times. Well, she said she was awake at 3 o'clock in the morning, and she also sent a tweet out at 3 o'clock in the morning, but I won't even mention that. But she said she'll be awake. Who's going -- the famous thing, we're going to answer our call at 3 o'clock in the morning. Guess what happened? Ambassador Stevens -- Ambassador Stevens sent 600 requests for help. And the only one she talked to was Sidney Blumenthal, who's her friend and not a good guy, by the way. So, you know, she shouldn't be talking about that. Now, tweeting happens to be a modern day form of communication. I mean, you can like it or not like it. I have, between Facebook and Twitter, I have almost 25 million people. It's a very effective way of communication. So you can put it down, but it is a very effective form of communication. I'm not un-proud of it, to be honest with you. "
210,No.,I'm shocked to hear that.
211,"Secretary Clinton, we are moving to an audience question. We're almost out of time. We have another... ",We have the slowest growth since 1929.
212,We're moving to an audience question.,It is -- our country has the slowest growth and jobs are a disaster.
213,"Thank you, Secretary Clinton. Thank you. You're out of time. Mr. Trump? ","Justice Scalia, great judge, died recently. And we have a vacancy. I am looking to appoint judges very much in the mold of Justice Scalia. I'm looking for judges -- and I've actually picked 20 of them so that people would see, highly respected, highly thought of, and actually very beautifully reviewed by just about everybody. But people that will respect the Constitution of the United States. And I think that this is so important. Also, the Second Amendment, which is totally under siege by people like Hillary Clinton. They'll respect the Second Amendment and what it stands for, what it represents. So important to me. Now, Hillary mentioned something about contributions just so you understand. So I will have in my race more than $100 million put in -- of my money, meaning I'm not taking all of this big money from all of these different corporations like she's doing. What I ask is this. So I'm putting in more than -- by the time it's finished, I'll have more than $100 million invested. Pretty much self-funding money. We're raising money for the Republican Party, and we're doing tremendously on the small donations, $61 average or so. I ask Hillary, why doesn't -- she made $250 million by being in office. She used the power of her office to make a lot of money. Why isn't she funding, not for $100 million, but why don't you put $10 million or $20 million or $25 million or $30 million into your own campaign? It's $30 million less for special interests that will tell you exactly what to do and it would really, I think, be a nice sign to the American public. Why aren't you putting some money in? You have a lot of it. You've made a lot of it because of the fact that you've been in office. Made a lot of it while you were secretary of state, actually. So why aren't you putting money into your own campaign? I'm just curious. "
214,"Mr. Trump, two minutes? ","Absolutely. I think it's such a great question, because energy is under siege by the Obama administration. Under absolutely siege. The EPA, Environmental Protection Agency, is killing these energy companies. And foreign companies are now coming in buying our -- buying so many of our different plants and then re-jiggering the plant so that they can take care of their oil. We are killing -- absolutely killing our energy business in this country. Now, I'm all for alternative forms of energy, including wind, including solar, et cetera. But we need much more than wind and solar. And you look at our miners. Hillary Clinton wants to put all the miners out of business. There is a thing called clean coal. Coal will last for 1,000 years in this country. Now we have natural gas and so many other things because of technology. We have unbelievable -- we have found over the last seven years, we have found tremendous wealth right under our feet. So good. Especially when you have $20 trillion in debt. I will bring our energy companies back. They'll be able to compete. They'll make money. They'll pay off our national debt. They'll pay off our tremendous budget deficits, which are tremendous. But we are putting our energy companies out of business. We have to bring back our workers. You take a look at what's happening to steel and the cost of steel and China dumping vast amounts of steel all over the United States, which essentially is killing our steelworkers and our steel companies. We have to guard our energy companies. We have to make it possible. The EPA is so restrictive that they are putting our energy companies out of business. And all you have to do is go to a great place like West Virginia or places like Ohio, which is phenomenal, or places like Pennsylvania and you see what they're doing to the people, miners and others in the energy business. It's a disgrace. "
215,Your time is up. Thank you.,It's an absolute disgrace.
216,Mr. Trump?,"Well, I consider her statement about my children to be a very nice compliment. I don't know if it was meant to be a compliment, but it is a great -- I'm very proud of my children. And they've done a wonderful job, and they've been wonderful, wonderful kids. So I consider that a compliment. I will say this about Hillary. She doesn't quit. She doesn't give up. I respect that. I tell it like it is. She's a fighter. I disagree with much of what she's fighting for. I do disagree with her judgment in many cases. But she does fight hard, and she doesn't quit, and she doesn't give up. And I consider that to be a very good trait. "
217,"Mr. Trump, same question. Where do you want to see the court take the country? And how do you believe the Constitution should be interpreted? ","Well, first of all, it's great to be with you, and thank you, everybody. The Supreme Court: It's what it's all about. Our country is so, so -- it's just so imperative that we have the right justices. Something happened recently where Justice Ginsburg made some very, very inappropriate statements toward me and toward a tremendous number of people, many, many millions of people that I represent. And she was forced to apologize. And apologize she did. But these were statements that should never, ever have been made. We need a Supreme Court that in my opinion is going to uphold the Second Amendment, and all amendments, but the Second Amendment, which is under absolute siege. I believe if my opponent should win this race, which I truly don't think will happen, we will have a Second Amendment which will be a very, very small replica of what it is right now. But I feel that it's absolutely important that we uphold, because of the fact that it is under such trauma. I feel that the justices that I am going to appoint -- and I've named 20 of them -- the justices that I'm going to appoint will be pro-life. They will have a conservative bent. They will be protecting the Second Amendment. They are great scholars in all cases, and they're people of tremendous respect. They will interpret the Constitution the way the founders wanted it interpreted. And I believe that's very, very important. I don't think we should have justices appointed that decide what they want to hear. It's all about the Constitution of -- of -- and so important, the Constitution the way it was meant to be. And those are the people that I will appoint. "
218,"Let me bring Mr. Trump in here. The bipartisan Open Debate Coalition got millions of votes on questions to ask here, and this was, in fact, one of the top questions that they got. How will you ensure the Second Amendment is protected? You just heard Secretary Clinton's answer. Does she persuade you that, while you may disagree on regulation, that, in fact, she supports a Second Amendment right to bear arms? ","Well, the D.C. vs. Heller decision was very strongly -- and she was extremely angry about it. I watched. I mean, she was very, very angry when upheld. And Justice Scalia was so involved. And it was a well-crafted decision. But Hillary was extremely upset, extremely angry. And people that believe in the Second Amendment and believe in it very strongly were very upset with what she had to say. "
219,"Let me bring Mr. Trump back into this, because, in fact, you oppose any limits on assault weapons, any limits on high- capacity magazines. You support a national right to carry law. Why, sir? ","Well, let me just tell you before we go any further. In Chicago, which has the toughest gun laws in the United States, probably you could say by far, they have more gun violence than any other city. So we have the toughest laws, and you have tremendous gun violence. I am a very strong supporter of the Second Amendment. And I am -- I don't know if Hillary was saying it in a sarcastic manner, but I'm very proud to have the endorsement of the NRA. And it's the earliest endorsement they've ever given to anybody who ran for president. So I'm very honored by all of that. We are going to appoint justices -- this is the best way to help the Second Amendment. We are going to appoint justices that will feel very strongly about the Second Amendment, that will not do damage to the Second Amendment. "
220,"Well, let's pick up on another issue which divides you and the justices that whoever ends up winning this election appoints could have a dramatic effect there, and that's the issue of abortion. ",Right.
221,"Mr. Trump, you're pro-life. But I want to ask you specifically: Do you want the court, including the justices that you will name, to overturn Roe v. Wade, which includes -- in fact, states -- a woman's right to abortion? ","Well, if that would happen, because I am pro-life, and I will be appointing pro-life judges, I would think that that will go back to the individual states. "
222,But I'm asking you specifically. Would you like to...,"If they overturned it, it will go back to the states. "
223,"But what I'm asking you, sir, is, do you want to see the court overturn -- you just said you want to see the court protect the Second Amendment. Do you want to see the court overturn Roe v. Wade? ","Well, if we put another two or perhaps three justice on, that's really what's going to be -- that will happen. And that'll happen automatically, in my opinion, because I am putting pro-life justices on the court. I will say this: It will go back to the states, and the states will then make a determination. "
224,"Mr. Trump, your reaction? And particularly on this issue of late-term, partial-birth abortions. ","Well, I think it's terrible. If you go with what Hillary is saying, in the ninth month, you can take the baby and rip the baby out of the womb of the mother just prior to the birth of the baby. Now, you can say that that's OK and Hillary can say that that's OK. But it's not OK with me, because based on what she's saying, and based on where she's going, and where she's been, you can take the baby and rip the baby out of the womb in the ninth month on the final day. And that's not acceptable. "
225,"All right. But just briefly, I want to move on to another segment... ","And, honestly, nobody has business doing what I just said, doing that, as late as one or two or three or four days prior to birth. Nobody has that. "
226,"All right. Let's move on to the subject of immigration. And there is almost no issue that separates the two of you more than the issue of immigration. Actually, there are a lot of issues that separate the two of you. Mr. Trump, you want to build a wall. Secretary Clinton, you have offered no specific plan for how you want to secure our southern border. Mr. Trump, you are calling for major deportations. Secretary Clinton, you say that within your first 100 days as president you're going to offer a package that includes a pathway to citizenship. The question, really, is, why are you right and your opponent wrong? Mr. Trump, you go first in this segment. You have two minutes. ","Well, first of all, she wants to give amnesty, which is a disaster and very unfair to all of the people that are waiting on line for many, many years. We need strong borders. In the audience tonight, we have four mothers of -- I mean, these are unbelievable people that I've gotten to know over a period of years whose children have been killed, brutally killed by people that came into the country illegally. You have thousands of mothers and fathers and relatives all over the country. They're coming in illegally. Drugs are pouring in through the border. We have no country if we have no border. Hillary wants to give amnesty. She wants to have open borders. The border -- as you know, the Border Patrol agents, 16,500-plus ICE last week, endorsed me. First time they've ever endorsed a candidate. It means their job is tougher. But they know what's going on. They know it better than anybody. They want strong borders. They feel we have to have strong borders. I was up in New Hampshire the other day. The biggest complaint they have -- it's with all of the problems going on in the world, many of the problems caused by Hillary Clinton and by Barack Obama. All of the problems -- the single biggest problem is heroin that pours across our southern border. It's just pouring and destroying their youth. It's poisoning the blood of their youth and plenty of other people. We have to have strong borders. We have to keep the drugs out of our country. We are -- right now, we're getting the drugs, they're getting the cash. We need strong borders. We need absolute -- we cannot give amnesty. Now, I want to build the wall. We need the wall. And the Border Patrol, ICE, they all want the wall. We stop the drugs. We shore up the border. One of my first acts will be to get all of the drug lords, all of the bad ones -- we have some bad, bad people in this country that have to go out. We're going to get them out; we're going to secure the border. And once the border is secured, at a later date, we'll make a determination as to the rest. But we have some bad hombres here, and we're going to get them out. "
227,"Thank you, Secretary Clinton. I want to follow up... ","Chris, I think it's... "
228,OK.,"I think I should respond to that. First of all, I had a very good meeting with the president of Mexico. Very nice man. We will be doing very much better with Mexico on trade deals. Believe me. The NAFTA deal signed by her husband is one of the worst deals ever made of any kind, signed by anybody. It's a disaster. Hillary Clinton wanted the wall. Hillary Clinton fought for the wall in 2006 or thereabouts. Now, she never gets anything done, so naturally the wall wasn't built. But Hillary Clinton wanted the wall. "
229,"Well, let me -- wait, wait, sir, let me... ",We are a country of laws. We either have -- and by the way...
230,"Now, wait. I'd like to hear from... ","Well -- well, but she said one thing. "
231,"I voted for border security, and there are... ",And the wall.
232,Mr. Trump?,"President Obama has moved millions of people out. Nobody knows about it, nobody talks about it. But under Obama, millions of people have been moved out of this country. They've been deported. She doesn't want to say that, but that's what's happened, and that's what happened big league. As far as moving these people out and moving -- we either have a country or we don't. We're a country of laws. We either have a border or we don't. Now, you can come back in and you can become a citizen. But it's very unfair. We have millions of people that did it the right way. They're on line. They're waiting. We're going to speed up the process, big league, because it's very inefficient. But they're on line and they're waiting to become citizens. Very unfair that somebody runs across the border, becomes a citizen, under her plan, you have open borders. You would have a disaster on trade, and you will have a disaster with your open borders. "
233,I want to...,But what she doesn't say is that President Obama has deported millions and millions of people just the way it is.
234,"Secretary Clinton, I want to clear up your position on this issue, because in a speech you gave to a Brazilian bank, for which you were paid $225,000, we've learned from the WikiLeaks, that you said this, and I want to quote. ""My dream is a hemispheric common market with open trade and open borders."" So that's the question... ",Thank you.
235,Well?,"That was a great pivot off the fact that she wants open borders, OK? How did we get on to Putin? "
236,"Hold on -- hold on, wait. Hold on, folks. Because we -- this is going to end up getting out of control. Let's try to keep it quiet so -- for the candidates and for the American people. ",So just to finish on the borders...
237,Yes?,"She wants open borders. People are going to pour into our country. People are going to come in from Syria. She wants 550 percent more people than Barack Obama, and he has thousands and thousands of people. They have no idea where they come from. And you see, we are going to stop radical Islamic terrorism in this country. She won't even mention the words, and neither will President Obama. So I just want to tell you, she wants open borders. Now we can talk about Putin. I don't know Putin. He said nice things about me. If we got along well, that would be good. If Russia and the United States got along well and went after ISIS, that would be good. He has no respect for her. He has no respect for our president. And I'll tell you what: We're in very serious trouble, because we have a country with tremendous numbers of nuclear warheads -- 1,800, by the way -- where they expanded and we didn't, 1,800 nuclear warheads. And she's playing chicken. Look, Putin... "
238,"Wait, but... ","... from everything I see, has no respect for this person. "
239,"Well, that's because he'd rather have a puppet as president of the United States. ",No puppet. No puppet.
240,And it's pretty clear...,You're the puppet!
241,It's pretty clear you won't admit...,"No, you're the puppet. "
242,And I think it's time you take a stand...,"She has no idea whether it's Russia, China, or anybody else. "
243,I am not quoting myself.,She has no idea.
244,I am quoting 17...,"Hillary, you have no idea. "
245,... 17 intelligence -- do you doubt 17 military and civilian...,And our country has no idea.
246,... agencies.,"Yeah, I doubt it. I doubt it. "
247,(CROSSTALK),She doesn't like Putin because Putin has outsmarted her at every step of the way.
248,Mr. Trump...,Excuse me. Putin has outsmarted her in Syria.
249,(CROSSTALK),He's outsmarted her every step of the way.
250,I do get to ask some questions.,"Yes, that's fine. "
251,"And I would like to ask you this direct question. The top national security officials of this country do believe that Russia has been behind these hacks. Even if you don't know for sure whether they are, do you condemn any interference by Russia in the American election? ",By Russia or anybody else.
252,You condemn their interference?,Of course I condemn. Of course I -- I don't know Putin. I have no idea.
253,I'm not asking -- I'm asking do you condemn?,"I never met Putin. This is not my best friend. But if the United States got along with Russia, wouldn't be so bad. Let me tell you, Putin has outsmarted her and Obama at every single step of the way. Whether it's Syria, you name it. Missiles. Take a look at the ""start up"" that they signed. The Russians have said, according to many, many reports, I can't believe they allowed us to do this. They create warheads, and we can't. The Russians can't believe it. She has been outsmarted by Putin. And all you have to do is look at the Middle East. They've taken over. We've spent $6 trillion. They've taken over the Middle East. She has been outsmarted and outplayed worse than anybody I've ever seen in any government whatsoever. "
254,"We're a long way away from immigration, but I'm going to let you finish this topic. You got about 45 seconds. ",And she always will be.
255,"I -- I find it ironic that he's raising nuclear weapons. This is a person who has been very cavalier, even casual about the use of nuclear weapons. He's... ",Wrong.
256,"... advocated more countries getting them, Japan, Korea, even Saudi Arabia. He said, well, if we have them, why don't we use them, which I think is terrifying. But here's the deal. The bottom line on nuclear weapons is that when the president gives the order, it must be followed. There's about four minutes between the order being given and the people responsible for launching nuclear weapons to do so. And that's why 10 people who have had that awesome responsibility have come out and, in an unprecedented way, said they would not trust Donald Trump with the nuclear codes or to have his finger on the nuclear button. ",I have 200 generals...
257,Very quickly.,"... and admirals, 21 endorsing me, 21 congressional Medal of Honor recipients. As far as Japan and other countries, we are being ripped off by everybody in the -- we're defending other countries. We are spending a fortune doing it. They have the bargain of the century. All I said is, we have to renegotiate these agreements, because our country cannot afford to defend Saudi Arabia, Japan, Germany, South Korea, and many other places. We cannot continue to afford -- she took that as saying nuclear weapons. "
258,OK.,"Look, she's been proven to be a liar on so many different ways. This is just another lie. "
259,"Well, I'm just quoting you when you were asked... ",There's no quote. You're not going to find a quote from me.
260,"... about a potential nuclear -- nuclear competition in Asia, you said, you know, go ahead, enjoy yourselves, folks. That kind... ",And defend yourselves.
261,... of language -- well...,And defend yourselves. I didn't say nuclear. And defend yourself.
262,"We're going to -- no, we are going to move on to the next topic, which is the economy. And I hope we handle that as well as we did immigration. You also have very different ideas about how to get the economy growing faster. Secretary Clinton, in your plan, government plays a big role. You see more government spending, more entitlements, more tax credits, more tax penalties. Mr. Trump, you want to get government out with lower taxes and less regulation. ",Yes.
263,"Secretary, thank you. Mr. Trump, why will your plan create more jobs and growth than Secretary Clinton's? ","Well, first of all, before I start on my plan, her plan is going to raise taxes and even double your taxes. Her tax plan is a disaster. And she can say all she wants about college tuition. And I'm a big proponent. We're going to do a lot of things for college tuition. But the rest of the public's going to be paying for it. We will have a massive, massive tax increase under Hillary Clinton's plan. "
264,"Time, Mr. Trump. ","... that's offshore back into the country. We are going to start the engine rolling again, because... "
265,Mr. Trump?,"... right now, our country is dying at 1 percent GDP. "
266,"Well, let me translate that, if I can, Chris, because... ",You can't.
267,"Secretary Clinton, I want to pursue your plan, because in many ways it is similar to the Obama stimulus plan in 2009, which has led to the slowest GDP growth since 1949. ",Correct.
268,"Mr. Trump, even conservative economists who have looked at your plan say that the numbers don't add up, that your idea, and you've talked about 25 million jobs created, 4 percent... ",Over a 10-year period.
